Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
01/03/2021,01/09/2021,2021,1,HHS Region 7,1013.0,3779.0
01/10/2021,01/16/2021,2021,2,HHS Region 7,891.0,3689.0
01/17/2021,01/23/2021,2021,3,HHS Region 7,784.0,3532.0
01/24/2021,01/30/2021,2021,4,HHS Region 7,634.0,3305.0
01/31/2021,02/06/2021,2021,5,HHS Region 7,452.0,3203.0
02/07/2021,02/13/2021,2021,6,HHS Region 7,365.0,2940.0
02/14/2021,02/20/2021,2021,7,HHS Region 7,295.0,3055.0
02/21/2021,02/27/2021,2021,8,HHS Region 7,232.0,2872.0
02/28/2021,03/06/2021,2021,9,HHS Region 7,185.0,2874.0
03/07/2021,03/13/2021,2021,10,HHS Region 7,161.0,2692.0
03/14/2021,03/20/2021,2021,11,HHS Region 7,132.0,2568.0
03/21/2021,03/27/2021,2021,12,HHS Region 7,147.0,2777.0
03/28/2021,04/03/2021,2021,13,HHS Region 7,116.0,2684.0
04/04/2021,04/10/2021,2021,14,HHS Region 7,112.0,2815.0
04/11/2021,04/17/2021,2021,15,HHS Region 7,108.0,2709.0
04/18/2021,04/24/2021,2021,16,HHS Region 7,113.0,2749.0
04/25/2021,05/01/2021,2021,17,HHS Region 7,127.0,2784.0
05/02/2021,05/08/2021,2021,18,HHS Region 7,99.0,2620.0
05/09/2021,05/15/2021,2021,19,HHS Region 7,124.0,2726.0
05/16/2021,05/22/2021,2021,20,HHS Region 7,103.0,2655.0
05/23/2021,05/29/2021,2021,21,HHS Region 7,75.0,2610.0
05/30/2021,06/05/2021,2021,22,HHS Region 7,76.0,2681.0
06/06/2021,06/12/2021,2021,23,HHS Region 7,93.0,2736.0
06/13/2021,06/19/2021,2021,24,HHS Region 7,83.0,2687.0
06/20/2021,06/26/2021,2021,25,HHS Region 7,113.0,2756.0
06/27/2021,07/03/2021,2021,26,HHS Region 7,123.0,2661.0
07/04/2021,07/10/2021,2021,27,HHS Region 7,146.0,2771.0
07/11/2021,07/17/2021,2021,28,HHS Region 7,210.0,2823.0
07/18/2021,07/24/2021,2021,29,HHS Region 7,250.0,2885.0
07/25/2021,07/31/2021,2021,30,HHS Region 7,308.0,2925.0
08/01/2021,08/07/2021,2021,31,HHS Region 7,455.0,3201.0
08/08/2021,08/14/2021,2021,32,HHS Region 7,454.0,3108.0
08/15/2021,08/21/2021,2021,33,HHS Region 7,485.0,3238.0
08/22/2021,08/28/2021,2021,34,HHS Region 7,529.0,3305.0
08/29/2021,09/04/2021,2021,35,HHS Region 7,507.0,3162.0
09/05/2021,09/11/2021,2021,36,HHS Region 7,456.0,3135.0
09/12/2021,09/18/2021,2021,37,HHS Region 7,492.0,3195.0
09/19/2021,09/25/2021,2021,38,HHS Region 7,500.0,3324.0
09/26/2021,10/02/2021,2021,39,HHS Region 7,456.0,3267.0
10/03/2021,10/09/2021,2021,40,HHS Region 7,412.0,3067.0
10/10/2021,10/16/2021,2021,41,HHS Region 7,410.0,3142.0
10/17/2021,10/23/2021,2021,42,HHS Region 7,364.0,3166.0
10/24/2021,10/30/2021,2021,43,HHS Region 7,338.0,3170.0
10/31/2021,11/06/2021,2021,44,HHS Region 7,341.0,3081.0
11/07/2021,11/13/2021,2021,45,HHS Region 7,308.0,3236.0
11/14/2021,11/20/2021,2021,46,HHS Region 7,393.0,3227.0
11/21/2021,11/27/2021,2021,47,HHS Region 7,383.0,3270.0
11/28/2021,12/04/2021,2021,48,HHS Region 7,448.0,3294.0
12/05/2021,12/11/2021,2021,49,HHS Region 7,547.0,3535.0
12/12/2021,12/18/2021,2021,50,HHS Region 7,618.0,3516.0
12/19/2021,12/25/2021,2021,51,HHS Region 7,625.0,3629.0
12/26/2021,01/01/2022,2021,52,HHS Region 7,679.0,3627.0
