Start Week,End Week,MMWRyear,MMWRweek,Jurisdiction,COVID-19 Deaths,Total Deaths
12/29/2019,01/04/2020,2020,1,HHS Region 7,0.0,2884.0
01/05/2020,01/11/2020,2020,2,HHS Region 7,,2882.0
01/12/2020,01/18/2020,2020,3,HHS Region 7,0.0,2827.0
01/19/2020,01/25/2020,2020,4,HHS Region 7,0.0,2902.0
01/26/2020,02/01/2020,2020,5,HHS Region 7,0.0,2867.0
02/02/2020,02/08/2020,2020,6,HHS Region 7,0.0,2807.0
02/09/2020,02/15/2020,2020,7,HHS Region 7,0.0,2837.0
02/16/2020,02/22/2020,2020,8,HHS Region 7,0.0,2882.0
02/23/2020,02/29/2020,2020,9,HHS Region 7,0.0,2874.0
03/01/2020,03/07/2020,2020,10,HHS Region 7,0.0,2933.0
03/08/2020,03/14/2020,2020,11,HHS Region 7,,2795.0
03/15/2020,03/21/2020,2020,12,HHS Region 7,,2719.0
03/22/2020,03/28/2020,2020,13,HHS Region 7,30.0,2786.0
03/29/2020,04/04/2020,2020,14,HHS Region 7,104.0,2746.0
04/05/2020,04/11/2020,2020,15,HHS Region 7,164.0,2916.0
04/12/2020,04/18/2020,2020,16,HHS Region 7,183.0,2864.0
04/19/2020,04/25/2020,2020,17,HHS Region 7,236.0,2912.0
04/26/2020,05/02/2020,2020,18,HHS Region 7,237.0,2909.0
05/03/2020,05/09/2020,2020,19,HHS Region 7,272.0,2951.0
05/10/2020,05/16/2020,2020,20,HHS Region 7,250.0,2882.0
05/17/2020,05/23/2020,2020,21,HHS Region 7,218.0,2762.0
05/24/2020,05/30/2020,2020,22,HHS Region 7,182.0,2726.0
05/31/2020,06/06/2020,2020,23,HHS Region 7,157.0,2678.0
06/07/2020,06/13/2020,2020,24,HHS Region 7,120.0,2672.0
06/14/2020,06/20/2020,2020,25,HHS Region 7,118.0,2647.0
06/21/2020,06/27/2020,2020,26,HHS Region 7,99.0,2653.0
06/28/2020,07/04/2020,2020,27,HHS Region 7,88.0,2732.0
07/05/2020,07/11/2020,2020,28,HHS Region 7,94.0,2663.0
07/12/2020,07/18/2020,2020,29,HHS Region 7,126.0,2793.0
07/19/2020,07/25/2020,2020,30,HHS Region 7,188.0,2896.0
07/26/2020,08/01/2020,2020,31,HHS Region 7,174.0,2865.0
08/02/2020,08/08/2020,2020,32,HHS Region 7,209.0,2949.0
08/09/2020,08/15/2020,2020,33,HHS Region 7,223.0,2942.0
08/16/2020,08/22/2020,2020,34,HHS Region 7,235.0,2883.0
08/23/2020,08/29/2020,2020,35,HHS Region 7,264.0,2870.0
08/30/2020,09/05/2020,2020,36,HHS Region 7,246.0,2892.0
09/06/2020,09/12/2020,2020,37,HHS Region 7,301.0,2914.0
09/13/2020,09/19/2020,2020,38,HHS Region 7,258.0,2933.0
09/20/2020,09/26/2020,2020,39,HHS Region 7,329.0,3066.0
09/27/2020,10/03/2020,2020,40,HHS Region 7,433.0,3142.0
10/04/2020,10/10/2020,2020,41,HHS Region 7,464.0,3267.0
10/11/2020,10/17/2020,2020,42,HHS Region 7,477.0,3224.0
10/18/2020,10/24/2020,2020,43,HHS Region 7,573.0,3375.0
10/25/2020,10/31/2020,2020,44,HHS Region 7,617.0,3367.0
11/01/2020,11/07/2020,2020,45,HHS Region 7,912.0,3795.0
11/08/2020,11/14/2020,2020,46,HHS Region 7,1108.0,3990.0
11/15/2020,11/21/2020,2020,47,HHS Region 7,1354.0,4188.0
11/22/2020,11/28/2020,2020,48,HHS Region 7,1494.0,4237.0
11/29/2020,12/05/2020,2020,49,HHS Region 7,1504.0,4332.0
12/06/2020,12/12/2020,2020,50,HHS Region 7,1405.0,4317.0
12/13/2020,12/19/2020,2020,51,HHS Region 7,1254.0,4137.0
12/20/2020,12/26/2020,2020,52,HHS Region 7,1119.0,3920.0
12/27/2020,01/02/2021,2020,53,HHS Region 7,984.0,3752.0
